
Each sample represents 0.02 seconds.
Total run time: 1653.81999999879 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  0.66     10.90      0.66     10.90     "sum"
  0.66     10.84      0.42      6.96     "is.PSRoot"
  0.65     10.76      0.04      0.66     "getCumulativeRatesFromRange"
  0.64     10.60      0.17      2.80     "getFields"
  0.63     10.46      0.07      1.22     "make.gap.in.from"
  0.62     10.32      0.37      6.20     "sys.function"
  0.61     10.12      0.28      4.60     "emmit.homologous"
  0.61     10.10      0.13      2.08     "getCumulativeRatesFromRange.Sequence"
  0.61     10.08      0.56      9.20     "toupper"
  0.60      9.90      0.43      7.08     "close"
  0.56      9.34      0.23      3.74     "unique.default"
  0.56      9.20      0.56      9.20     "gc"
  0.51      8.48      0.00      0.08     "sampleState"
  0.51      8.40      0.01      0.18     "sampleState.GeneralSubstitution"
  0.51      8.36      0.03      0.54     "hasSymbols.Alphabet"
  0.49      8.10      0.37      6.20     "seq.default"
  0.48      7.96      0.48      7.96     "list"
  0.48      7.94      0.48      7.94     "attr"
  0.47      7.84      0.04      0.58     ".setHandler"
  0.47      7.80      0.05      0.86     "getFields.Object"
  0.47      7.72      0.47      7.72     "any"
  0.47      7.70      0.01      0.24     "runif"
  0.45      7.46      0.06      0.98     "is.vector"
  0.44      7.30      0.44      7.30     "!"
  0.44      7.26      0.06      1.06     ".setHandler.Event"
  0.42      6.90      0.41      6.74     "ls"
  0.39      6.40      0.05      0.80     "is.GeneralSubstitution"
  0.37      6.16      0.37      6.16     "parent.frame"
  0.35      5.84      0.35      5.84     "-"
  0.33      5.42      0.00      0.06     ".flagSeqCumulativeRates"
  0.32      5.36      0.00      0.08     ".flagSeqCumulativeRates.Site"
  0.31      5.18      0.27      4.40     "substr<-"
  0.31      5.16      0.31      5.16     "is.null"
  0.30      5.04      0.01      0.20     "getRate"
  0.30      4.88      0.05      0.80     "is.Sequence"
  0.30      4.88      0.03      0.50     "getState.Site"
  0.27      4.54      0.02      0.34     "is.GeneralSubstitution.default"
  0.27      4.42      0.21      3.54     "rownames<-"
  0.26      4.30      0.03      0.52     "getState"
  0.25      4.20      0.25      4.20     "^"
  0.25      4.18      0.25      4.18     "sys.parent"
  0.25      4.10      0.02      0.30     "is.GY94"
