
Each sample represents 0.02 seconds.
Total run time: 143.64 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %       self
 total    seconds     self    seconds    name
  0.18      0.26      0.18      0.26     "is.character"
  0.13      0.18      0.13      0.18     "as.environment"
  0.11      0.16      0.11      0.16     ":"
  0.10      0.14      0.08      0.12     "enableVirtual.PSRoot"
  0.10      0.14      0.10      0.14     "is.name"
  0.07      0.10      0.07      0.10     "is.list"
  0.06      0.08      0.06      0.08     "as.character"
  0.06      0.08      0.06      0.08     "seq_along"
  0.06      0.08      0.03      0.04     "new.env"
  0.06      0.08      0.06      0.08     "length"
  0.06      0.08      0.04      0.06     "match.fun"
  0.04      0.06      0.04      0.06     "class"
  0.04      0.06      0.04      0.06     "attributes"
  0.04      0.06      0.04      0.06     "&"
  0.03      0.04      0.03      0.04     "invisible"
  0.03      0.04      0.03      0.04     "is.expression"
  0.03      0.04      0.03      0.04     "is.function"
  0.03      0.04      0.03      0.04     "names"
  0.03      0.04      0.03      0.04     "("
  0.03      0.04      0.03      0.04     "is.na.PSRoot"
  0.03      0.04      0.03      0.04     "seq_len"
  0.03      0.04      0.03      0.04     "as.logical"
  0.01      0.02      0.01      0.02     "typeof"
  0.01      0.02      0.01      0.02     "*"
  0.01      0.02      0.01      0.02     "dim"
  0.01      0.02      0.01      0.02     "is.pairlist"
  0.01      0.02      0.01      0.02     "is.call"
  0.01      0.02      0.01      0.02     "baseenv"
  0.01      0.02      0.01      0.02     "is.logical"
  0.01      0.02      0.01      0.02     "+"
  0.01      0.02      0.01      0.02     "is.object"

   %       self        %       total
 self     seconds    total    seconds    name
 11.45     16.44    100.00    143.64     "$.Object"
  5.58      8.02    100.00    143.64     "$"
  4.68      6.72      4.86      6.98     "exists"
  3.87      5.56      3.95      5.68     "get"
  3.72      5.34      4.30      6.18     "paste"
  3.51      5.04     38.53     55.34     "$<-.Object"
  3.12      4.48     10.93     15.70     "inherits"
  3.10      4.46      3.12      4.48     "gsub"
  2.97      4.26      3.15      4.52     "identical"
  2.31      3.32     13.31     19.12     "deparse"
  2.28      3.28      2.33      3.34     "pmatch"
  1.91      2.74     40.10     57.60     "$<-"
  1.68      2.42     12.61     18.12     "match"
  1.62      2.32     12.87     18.48     "match.arg"
  1.60      2.30      1.60      2.30     "assign"
  1.55      2.22     11.03     15.84     "eval"
  1.49      2.14      5.82      8.36     ".deparseOpts"
  1.48      2.12      3.83      5.50     "clone.Object"
  1.36      1.96      1.42      2.04     "print.default"
  1.36      1.96      1.36      1.96     "regexpr"
  1.35      1.94     26.01     37.36     "capture.output"
  1.17      1.68     14.16     20.34     "=="
  1.06      1.52      1.31      1.88     "which"
  0.99      1.42      2.80      4.02     "rev"
  0.95      1.36      3.73      5.36     "mode"
  0.93      1.34     38.69     55.58     "hashCode"
  0.93      1.34     37.66     54.10     "getInternalAddress"
  0.89      1.28      0.89      1.28     "sum"
  0.85      1.22      9.64     13.84     "textConnection"
  0.84      1.20      1.10      1.58     "substr"
  0.82      1.18      1.36      1.96     "seq"
  0.81      1.16      0.92      1.32     "toupper"
  0.79      1.14      8.99     12.92     "sink"
  0.77      1.10      1.03      1.48     "close"
  0.74      1.06     39.82     57.20     "equals"
  0.72      1.04     31.24     44.88     "<Anonymous>"
  0.71      1.02     11.85     17.02     "getEventsAtSite.GeneralSubstitution"
  0.67      0.96      5.15      7.40     "%in%"
  0.64      0.92     11.25     16.16     "is.factor"
  0.64      0.92     29.63     42.56     "getName.environment"
  0.61      0.88      1.28      1.84     "formals"
  0.61      0.88      1.02      1.46     "strsplit"
  0.58      0.84      0.58      0.84     "list"
  0.57      0.82      0.57      0.82     "attr"
  0.56      0.80      0.56      0.80     "-"
  0.56      0.80      0.56      0.80     "any"
  0.54      0.78      0.54      0.78     "is.null"
  0.54      0.78      0.54      0.78     "!"
  0.53      0.76      3.69      5.30     "unique"
  0.50      0.72      0.72      1.04     "is.PSRoot"
  0.49      0.70      5.08      7.30     "switch"
  0.47      0.68      0.47      0.68     "^"
  0.46      0.66     30.10     43.24     "getName"
  0.46      0.66      0.54      0.78     "seq.default"
  0.46      0.66      0.56      0.80     "substr<-"
  0.45      0.64      0.45      0.64     "ls"
  0.43      0.62    100.00    143.64     "method"
  0.39      0.56      0.42      0.60     "is.na"
  0.38      0.54     36.73     52.76     "getInternalAddress.Object"
  0.38      0.54      0.64      0.92     "unique.default"
  0.36      0.52      1.38      1.98     "unlist"
  0.35      0.50      0.35      0.50     ">"
  0.35      0.50     40.82     58.64     "getEventsAtSite.GeneralInsertor"
  0.35      0.50      0.35      0.50     "environmentName"
  0.35      0.50      0.35      0.50     "sys.parent"
  0.33      0.48      0.33      0.48     "attr<-"
  0.33      0.48      5.01      7.20     "clone"
  0.33      0.48      0.33      0.48     "parent.frame"
  0.32      0.46      2.31      3.32     "is.Site"
  0.32      0.46      1.48      2.12     "getId"
  0.32      0.46      0.32      0.46     "as.integer"
  0.32      0.46     39.08     56.14     "equals.Object"
  0.29      0.42      5.39      7.74     "hexStringToDouble"
  0.29      0.42      2.01      2.88     "withVisible"
  0.29      0.42      0.85      1.22     "getFields"
  0.28      0.40      2.62      3.76     "as.vector"
  0.28      0.40      0.63      0.90     "sys.function"
  0.26      0.38      0.35      0.50     "rev.default"
  0.26      0.38     37.52     53.90     "getParameterAtSite.Process"
  0.25      0.36      0.26      0.38     "close.connection"
  0.25      0.36     30.74     44.16     "FUN"
  0.25      0.36     42.11     60.48     "getEventsAtSite.GeneralDeletor"
  0.24      0.34      0.65      0.94     "getStaticInstance"
  0.21      0.30     94.99    136.44     "getEventsAtSite"
  0.19      0.28      6.99     10.04     ".checkWriteProtection"
  0.18      0.26     31.75     45.60     "isAttached.Site"
  0.18      0.26      0.18      0.26     "is.character"
  0.17      0.24     13.30     19.10     "!="
  0.17      0.24      1.85      2.66     "is.Site.default"
  0.17      0.24      1.29      1.86     "is.Process"
  0.15      0.22     34.98     50.24     ".checkTriplett"
  0.15      0.22    100.00    143.64     ".recalculateCumulativeRates.Sequence"
  0.14      0.20      0.22      0.32     "is.PSRoot.default"
  0.14      0.20      0.24      0.34     "enableVirtual"
  0.13      0.18      1.50      2.16     "getRate.Event"
  0.13      0.18     13.06     18.76     "==.Alphabet"
  0.13      0.18      0.13      0.18     "as.environment"
  0.11      0.16      2.33      3.34     "hasSiteSpecificParameter"
  0.11      0.16      0.11      0.16     ":"
  0.11      0.16     31.47     45.20     "lapply"
  0.11      0.16      0.22      0.32     "getStaticInstance.Class"
  0.11      0.16     37.64     54.06     "getParameterAtSite"
  0.11      0.16      0.56      0.80     "getFields.Object"
  0.10      0.14     98.50    141.48     ".recalculateTotalRate.Site"
  0.10      0.14      0.10      0.14     "is.name"
  0.10      0.14      1.13      1.62     "is.Process.default"
  0.10      0.14     31.84     45.74     "isAttached"
  0.10      0.14     37.76     54.24     "hashCode.Object"
  0.10      0.14     34.82     50.02     ".checkTriplett.Process"
  0.08      0.12      0.10      0.14     "enableVirtual.PSRoot"
  0.08      0.12      0.86      1.24     ".setHandler.Event"
  0.08      0.12      0.77      1.10     "getState"
  0.07      0.10      0.07      0.10     "is.list"
  0.07      0.10      0.95      1.36     "hasSymbols.Alphabet"
  0.07      0.10      1.66      2.38     "hasSymbols"
  0.07      0.10      2.21      3.18     "hasSiteSpecificParameter.Process"
